Pair_ID,Trajectory_1,Trajectory_2,Common_Length_m,K_Skip,K_Overlap,K_Total,Signed_Mean_Unit_Spacing_Error,Skip_Overlap_Difference,Identity_Error,Trajectory_1_E_Folding_m,Trajectory_1_Integral_Scale_m,Trajectory_1_Skewness,Trajectory_1_Excess_Kurtosis,Trajectory_2_E_Folding_m,Trajectory_2_Integral_Scale_m,Trajectory_2_Skewness,Trajectory_2_Excess_Kurtosis,Absolute_Integral_Scale_Difference_m,Absolute_E_Folding_Difference_m,Absolute_Skewness_Difference,Absolute_Excess_Kurtosis_Difference
PAIR_048,C01_P3,C12_P1,274.6,0.6705257176284958,0.6702914133493182,1.3408171309778139,0.00023430427917769492,0.00023430427917758845,0.0,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,41.2,32.7799241782221,-0.242299645561289,-0.5405839470219056,9.327857555509304,12.800000000000004,0.2305757517271028,0.10376180164604332
PAIR_049,C01_P3,C12_P3,274.6,0.5451726073499278,0.5457931303009712,1.090965737650899,-0.0006205229510434388,0.0006205229510434229,0.0,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,16.8,13.612856105086433,-0.2456633712033578,-0.5813479143446298,9.839210517626366,11.599999999999998,0.227212026085034,0.14452576896876757
PAIR_050,C01_P3,C13_P1,274.40000000000003,0.6417384525799937,0.6430522118740754,1.2847906644540688,-0.0013137592940816103,0.0013137592940816178,4.440892098500626e-16,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,11.2,10.08242476496059,-0.3829177362862536,-0.0189544463205986,13.369641857752208,17.2,0.0899576610021382,0.41786769905526366
PAIR_051,C01_P3,C13_P3,274.6,0.6768316363929582,0.6774471813278288,1.3542788177207867,-0.0006155449348706532,0.0006155449348705933,2.220446049250313e-16,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,31.0,23.720512880011427,0.540599905184819,0.2060869879268265,0.2684462572986277,2.6000000000000014,1.0134753024732108,0.6429091333026888
PAIR_052,C01_P3,C14_P1,274.6,0.6684372896725722,0.6681153365117594,1.3365526261843315,0.00032195316081274586,0.00032195316081284897,2.220446049250313e-16,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,6.800000000000001,11.270433591597858,0.2021638256941889,-0.045111164156665,12.181633031114941,21.599999999999998,0.6750392229825807,0.3917109812191973
PAIR_053,C01_P3,C14_P3,274.40000000000003,0.5582918912640005,0.5595374548825464,1.117829346146547,-0.001245563618545913,0.0012455636185458863,0.0,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,5.2,9.379346353417676,-0.2710026256991154,-0.0030550817914076,14.072720269295123,23.2,0.2018727715892764,0.43376706358445466
PAIR_054,C02_P1,C02_P3,274.6,0.4963245513595915,0.49597716362973565,0.992301714989327,0.00034738772985590125,0.00034738772985587474,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,38.0,31.32674433879733,-0.4338084142058662,-1.4553456342037197,13.47625277508563,16.4,0.4794186421721884,2.322494566914684
PAIR_055,C02_P1,C03_P1,274.6,0.4994351923943542,0.4988390756568659,0.9982742680512199,0.0005961167374882596,0.0005961167374882725,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,32.2,37.87927055239695,0.4659549849571102,-1.0019019358159027,20.028778988685254,10.600000000000001,1.3791820413351648,1.869050868526867
PAIR_056,C02_P1,C03_P3,274.6,0.6536384457287887,0.6521137228560046,1.3057521685847933,0.0015247228727842531,0.0015247228727841566,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,35.0,26.95959783244563,-0.0522551847368007,-0.7661167299209501,9.109106268733932,13.399999999999999,0.8609718716412539,1.6332656626319144
PAIR_057,C02_P1,C04_P1,274.6,0.6970006786512616,0.6960082335058004,1.3930089121570621,0.0009924451454612778,0.0009924451454611516,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,38.8,31.7690014004025,0.5429609892428743,-1.2651321476000783,13.918509836690802,17.199999999999996,1.4561880456209289,2.1322810803110426
